Abşeron|ABS
Ağcabədi|AGC
Ağdam|AGM
Ağdaş|AGS
Ağstafa|AGA
Ağsu|AGU
Astara|AST
Bakı|BAK
Babək|BAB
Balakən|BAL
Bərdə|BAR
Beyləqan|BEY
Biləsuvar|BIL
Cəbrayıl|CAB
Cəlilabad|CAL
Culfa|CUL
Daşkəsən|DAS
Füzuli|FUZ
Gədəbəy|GAD
Goranboy|GOR
Göyçay|GOY
Göygöl|GYG
Hacıqabul|HAC
İmişli|IMI
İsmayıllı|ISM
Kəlbəcər|KAL
Kǝngǝrli|KAN
Kürdəmir|KUR
Laçın|LAC
Lənkəran|LAN
Lerik|LER
Masallı|MAS
Neftçala|NEF
Oğuz|OGU
Ordubad|ORD
Qəbələ|QAB
Qax|QAX
Qazax|QAZ
Qobustan|QOB
Quba|QBA
Qubadli|QBI
Qusar|QUS
Saatlı|SAT
Sabirabad|SAB
Şabran|SBN
Sədərək|SAD
Şahbuz|SAH
Şəki|SAK
Salyan|SAL
Şamaxı|SMI
Şəmkir|SKR
Samux|SMX
Şərur|SAR
Siyəzən|SIY
Şuşa|SUS
Tərtər|TAR
Tovuz|TOV
Ucar|UCA
Xaçmaz|XAC
Xızı|XIZ
Xocalı|XCI
Xocavənd|XVD
Yardımlı|YAR
Yevlax|YEV
Zəngilan|ZAN
Zaqatala|ZAQ
Zərdab|ZAR
