Albacete|AB
Alicante|A
Almería|AN
Araba/Álava|VI
Asturias|O
Ávila|AV
Badajoz|BA
Barcelona|B
Bizkaia|BI
Burgos|BU
Cáceres|CC
Cádiz|CA
Cantabria|S
Castellón/Castelló|CS
Ceuta|CE
Ciudad Real|CR
Córdoba|CO
A Coruña|C
Cuenca|CU
Gipuzkoa|SS
Girona|GI
Granada|GR
Guadalajara|GU
Huelva|H
Huesca|HU
Illes Balears|PM
Jaén|J
León|LE
Lleida|L
Lugo|LU
Madrid|M
Málaga|MA
Melilla|ML
Murcia|MU
Navarra/Nafarroa|NA
Ourense|OR
Palencia|P
Las Palmas|GC
Pontevedra|PO
La Rioja|LO
Salamanca|SA
Santa Cruz de Tenerife|TF
Segovia|SG
Sevilla|SE
Soria|SO
Tarragona|T
Teruel|TE
Toledo|TO
Valencia/València|V
Valladolid|VA
Zamora|ZA
Zaragoza|Z
