Aberdeen City|ABE
Aberdeenshire|ABD
Angus|ANS
Antrim and Newtownabbey|ANN
Ards and North Down|AND
Argyll and Bute|AGB
Armagh, Banbridge and Craigavon|ABC
Barking and Dagenham|BDG
Barnet|BNE
Barnsley|BNS
Bath and North East Somerset|BAS
Bedford|BDF
Belfast|BFS
Bexley|BEX
Birmingham|BIR
Blackburn with Darwen|BBD
Blackpool|BPL
Blaenau Gwent|BGW
Bolton|BOL
Bournemouth|BMH
Bracknell Forest|BRC
Bradford|BRD
Brent|BEN
Bridgend|BGE
Brighton and Hove|BNH
Bristol, City of|BST
Bromley|BRY
Buckinghamshire|BKM
Bury|BUR
Caerphilly|CAY
Calderdale|CLD
Cambridgeshire|CAM
Camden|CMD
Cardiff|CRF
Carmarthenshire|CMN
Causeway Coast and Glens|CCG
Central Bedfordshire|CBF
Ceredigion|CGN
Cheshire East|CHE
Cheshire West and Chester|CHW
Clackmannanshire|CLK
Conwy|CWY
Cornwall|CON
Coventry|COV
Croydon|CRY
Cumbria|CMA
Darlington|DAL
Denbighshire|DEN
Derby|DER
Derbyshire|DBY
Derry and Strabane|DRS
Devon|DEV
Doncaster|DNC
Dorset|DOR
Dudley|DUD
Dumfries and Galloway|DGY
Dundee City|DND
Durham County|DUR
Ealing|EAL
East Ayrshire|EAY
East Dunbartonshire|EDU
East Lothian|ELN
East Renfrewshire|ERW
East Riding of Yorkshire|ERY
East Sussex|ESX
Edinburgh, City of|EDH
Eilean Siar|ELS
Enfield|ENF
Essex|ESS
Falkirk|FAL
Fermanagh and Omagh|FMO
Fife|FIF
Flintshire|FLN
Gateshead|GAT
Glasgow City|GLG
Gloucestershire|GLS
Greenwich|GRE
Gwynedd|GWN
Hackney|HCK
Halton|HAL
Hammersmith and Fulham|HMF
Hampshire|HAM
Haringey|HRY
Harrow|HRW
Hartlepool|HPL
Havering|HAV
Herefordshire|HEF
Hertfordshire|HRT
Highland|HLD
Hillingdon|HIL
Hounslow|HNS
Inverclyde|IVC
Isle of Anglesey|AGY
Isle of Wight|IOW
Isles of Scilly|IOS
Islington|ISL
Kensington and Chelsea|KEC
Kent|KEN
Kingston upon Hull|KHL
Kingston upon Thames|KTT
Kirklees|KIR
Knowsley|KWL
Lambeth|LBH
Lancashire|LAN
Leeds|LDS
Leicester|LCE
Leicestershire|LEC
Lewisham|LEW
Lincolnshire|LIN
Lisburn and Castlereagh|LBC
Liverpool|LIV
London, City of|LND
Luton|LUT
Manchester|MAN
Medway|MDW
Merthyr Tydfil|MTY
Merton|MRT
Mid and East Antrim|MEA
Mid Ulster|MUL
Middlesbrough|MDB
Midlothian|MLN
Milton Keynes|MIK
Monmouthshire|MON
Moray|MRY
Neath Port Talbot|NTL
Newcastle upon Tyne|NET
Newham|NWM
Newport|NWP
Newry, Mourne and Down|NMD
Norfolk|NFK
North Ayrshire|NAY
North East Lincolnshire|NEL
North Lanarkshire|NLK
North Lincolnshire|NLN
North Somerset|NSM
North Tyneside|NTY
North Yorkshire|NYK
Northamptonshire|NTH
Northumberland|NBL
Nottingham|NGM
Nottinghamshire|NTT
Oldham|OLD
Orkney Islands|ORK
Oxfordshire|OXF
Pembrokeshire|PEM
Perth and Kinross|PKN
Peterborough|PTE
Plymouth|PLY
Poole|POL
Portsmouth|POR
Powys|POW
Reading|RDG
Redbridge|RDB
Redcar and Cleveland|RCC
Renfrewshire|RFW
Rhondda, Cynon, Taff|RCT
Richmond upon Thames|RIC
Rochdale|RCH
Rotherham|ROT
Rutland|RUT
St. Helens|SHN
Salford|SLF
Sandwell|SAW
Scottish Borders, The|SCB
Sefton|SFT
Sheffield|SHF
Shetland Islands|ZET
Shropshire|SHR
Slough|SLG
Solihull|SOL
Somerset|SOM
South Ayrshire|SAY
South Gloucestershire|SGC
South Lanarkshire|SLK
South Tyneside|STY
Southampton|STH
Southend-on-Sea|SOS
Southwark|SWK
Staffordshire|STS
Stirling|STG
Stockport|SKP
Stockton-on-Tees|STT
Stoke-on-Trent|STE
Suffolk|SFK
Sunderland|SND
Surrey|SRY
Sutton|STN
Swansea|SWA
Swindon|SWD
Tameside|TAM
Telford and Wrekin|TFW
Thurrock|THR
Torbay|TOB
Torfaen|TOF
Tower Hamlets|TWH
Trafford|TRF
Vale of Glamorgan, The|VGL
Wakefield|WKF
Walsall|WLL
Waltham Forest|WFT
Wandsworth|WND
Warrington|WRT
Warwickshire|WAR
West Berkshire|WBK
West Dunbartonshire|WDU
West Lothian|WLN
West Sussex|WSX
Westminster|WSM
Wigan|WGN
Wiltshire|WIL
Windsor and Maidenhead|WNM
Wirral|WRL
Wokingham|WOK
Wolverhampton|WLV
Worcestershire|WOR
Wrexham|WRX
York|YOR
