Bács-Kiskun|BK
Baranya|BA
Békés|BE
Békéscsaba|BC
Borsod-Abauj-Zemplen|BZ
Budapest|BU
Csongrád|CS
Debrecen|DE
Dunaújváros|DU
Eger|EG
Érd|ER
Fejér|FE
Győr|GY
Győr-Moson-Sopron|GS
Hajdú-Bihar|HB
Heves|HE
Hódmezővásárhely|HV
Jász-Nagykun-Szolnok|N
Kaposvár|KV
Kecskemét|KM
Komárom-Esztergom|KE
Miskolc|MI
Nagykanizsa|NK
Nógrád|NO
Nyíregyháza|NY
Pécs|PS
Pest|PE
Salgótarján|ST
Somogy|SO
Sopron|SN
Szabolcs-á-Bereg|SZ
Szeged|SD
Székesfehérvár|SF
Szekszárd|SS
Szolnok|SK
Szombathely|SH
Tatabánya|TB
Tolna|TO
Vas|VA
Veszprém|VE
Veszprém (City)|VM
Zala|ZA
Zalaegerszeg|ZE
