Aceh|AC
Bali|BA
Bangka Belitung|BB
Banten|BT
Bengkulu|BE
Gorontalo|GO
Jakarta Raya|JK
Jambi|JA
Jawa Barat|JB
Jawa Tengah|JT
Jawa Timur|JI
Kalimantan Barat|KB
Kalimantan Selatan|KS
Kalimantan Tengah|KT
Kalimantan Timur|KI
Kalimantan Utara|KU
Kepulauan Riau|KR
Lampung|LA
Maluku|MA
Maluku Utara|MU
Nusa Tenggara Barat|NB
Nusa Tenggara Timur|NT
Papua|PA
Papua Barat|PB
Riau|RI
Sulawesi Selatan|SR
Sulawesi Tengah|ST
Sulawesi Tenggara|SG
Sulawesi Utara|SA
Sumatera Barat|SB
Sumatera Selatan|SS
Sumatera Utara|SU
Yogyakarta|YO
