Abra|ABR
Agusan del Norte|AGN
Agusan del Sur|AGS
Aklan|AKL
Albay|ALB
Antique|ANT
Apayao|APA
Aurora|AUR
Basilan|BAS
Bataan|BAN
Batanes|BTN
Batangas|BTG
Benguet|BEN
Biliran|BIL
Bohol|BOH
Bukidnon|BUK
Bulacan|BUL
Cagayan|CAG
Camarines Norte|CAN
Camarines Sur|CAS
Camiguin|CAM
Capiz|CAP
Catanduanes|CAT
Cavite|CAV
Cebu|CEB
Compostela|COM
Cotabato|NCO
Davao del Norte|DAV
Davao del Sur|DAS
Davao Occidental|DVO
Davao Oriental|DAO
Dinagat Islands|DIN
Eastern Samar|EAS
Guimaras|GUI
Ifugao|IFU
Ilocos Norte|ILN
Ilocos Sur|ILS
Iloilo|ILI
Isabela|ISA
Kalinga|KAL
La Union|LUN
Laguna|LAG
Lanao del Norte|LAN
Lanao del Sur|LAS
Leyte|LEY
Maguindanao|MAG
Masbate|MAS
Metro Manila|00
Mindoro Occidental|MDC
Mindoro Oriental|MDR
Misamis Occidental|MSC
Misamis Oriental|MSR
Mountain Province|MOU
Negros Occidental|NEC
Negros Oriental|NER
Northern Samar|NSA
Nueva Ecija|NUE
Nueva Vizcaya|NUV
Palawan|PLW
Pampanga|PAM
Pangasinan|PAN
Quezon|QUE
Quirino|QUI
Rizal|RIZ
Romblon|ROM
Samar|WSA
Sarangani|SAR
Siquijor|SIG
Sorsogon|SOR
Southern Leyte|SLE
Sultan Kudarat|AUK
Sulu|SLU
Surigao del Norte|SUN
Surigao del Sur|SUR
Tarlac|TAR
Tawi-Tawi|TAW
Zambales|ZMB
Zamboanga del Norte|ZAN
Zamboanga del Sur|ZAS
Zamboanga Sibugay|ZSI
